TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);Μήνας
11/08/2025 10:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 10:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 10:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 10:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 11:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 11:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 11:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 11:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 12:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 12:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 12:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 12:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 13:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 13:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 13:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 13:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 14:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 14:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 14:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
11/08/2025 14:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 15:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 15:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 15:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 15:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 16:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 16:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 16:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 16:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 17:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 17:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;4.963;2025-08
11/08/2025 17:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;12.485;2025-08
11/08/2025 17:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;11.351;2025-08
11/08/2025 18:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;9.991;2025-08
11/08/2025 18:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;8.589;2025-08
11/08/2025 18:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;7.154;2025-08
11/08/2025 18:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;5.63;2025-08
11/08/2025 19:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;4.201;2025-08
11/08/2025 19:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;2.898;2025-08
11/08/2025 19:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;1.812;2025-08
11/08/2025 19:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;1.063;2025-08
11/08/2025 20:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.678;2025-08
11/08/2025 20:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.416;2025-08
11/08/2025 20:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.151;2025-08
11/08/2025 20:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.009;2025-08
11/08/2025 21:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 21:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 21:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 21:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 22:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 22:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 22:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 22:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 23:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 23:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 23:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 23:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
12/08/2025 00:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
12/08/2025 00:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
