2026-02-13 19:58:47 | MONTHLY.production.filter_monthly_data | INFO | Filtered 2884 rows for month=2026-01
2026-02-13 19:58:47 | MONTHLY.production.calculate_daily_summary_quarterly | WARNING | Length mismatch on 2026-01-31: prod=4, dam=96, using first 4
2026-02-13 19:58:47 | MONTHLY.production.calculate_daily_summary_quarterly | INFO | Daily summary: 32 rows for month=2026-01
2026-02-13 19:58:47 | MONTHLY.excel_export.generate_invoice_excel | INFO | XLSX created: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/XLSX/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_HYDROGARDENS Ι.Κ.Ε_2026-01.xlsx
2026-02-13 19:58:49 | MONTHLY.excel_export.export_to_pdf_with_excel | DEBUG | PDF exported via Excel: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/PDF/HYDROGARDENS/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_HYDROGARDENS Ι.Κ.Ε_2026-01.pdf
2026-02-13 19:58:49 | MONTHLY.production.read_production_data | DEBUG | Read /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ENERGY_PLAN_ΜΟΝΟΠΡΟΣΩΠΗ_Ι.Κ.Ε._-_ΧΑΝΙ_ΒΩΒΟΥ.csv: 23528 rows
2026-02-13 19:58:49 | MONTHLY.production.filter_monthly_data | INFO | Filtered 2884 rows for month=2026-01
2026-02-13 19:58:49 | MONTHLY.production.calculate_daily_summary_quarterly | WARNING | Length mismatch on 2026-01-31: prod=4, dam=96, using first 4
2026-02-13 19:58:49 | MONTHLY.production.calculate_daily_summary_quarterly | INFO | Daily summary: 32 rows for month=2026-01
2026-02-13 19:58:49 | MONTHLY.excel_export.generate_invoice_excel | INFO | XLSX created: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΕΝΗΜΕΡΩΤΙΚΑ_ΣΗΜΕΙΩΜΑΤΑ/2026-01/XLSX/ΕΝΗΜΕΡΩΤΙΚΟ_ΣΗΜΕΙΩΜΑ_ENERGY_PLAN_ΜΟΝΟΠΡΟΣΩΠΗ_Ι.Κ.Ε._-_ΧΑΝΙ_ΒΩΒΟΥ_2026-01.xlsx
