2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25848 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (306)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 27271 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (168)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25854 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (188)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25853 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (198)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25851 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (208)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25852 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (210)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25849 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (226)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 27264 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (309)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 30048 → Γ ΣΙΔΕΡΟΓΙΑΝΝΗΣ, ΜΟΝ ΙΚΕ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 30055 → ΜΑΛΙΑΧΩΒΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 30419 → ΘΕΡΜΟΚΗΠΙΑ ΘΕΣΣΑΛΟΝΙΚΗΣ ΙΚΕ
2026-02-13 20:19:50 | get_latest_green_ve6_files | INFO | Found 31 GREEN_VE6 files in /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/downloads/2026-01
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260101 → edition 1: GREEN_VE6202601011.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260102 → edition 1: GREEN_VE6202601021.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260103 → edition 1: GREEN_VE6202601031.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260104 → edition 1: GREEN_VE6202601041.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260105 → edition 1: GREEN_VE6202601051.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260106 → edition 1: GREEN_VE6202601061.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260107 → edition 1: GREEN_VE6202601071.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260108 → edition 1: GREEN_VE6202601081.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260109 → edition 1: GREEN_VE6202601091.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260110 → edition 1: GREEN_VE6202601101.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260111 → edition 1: GREEN_VE6202601111.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260112 → edition 1: GREEN_VE6202601121.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260113 → edition 1: GREEN_VE6202601131.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260114 → edition 1: GREEN_VE6202601141.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260115 → edition 1: GREEN_VE6202601151.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260116 → edition 1: GREEN_VE6202601161.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260117 → edition 1: GREEN_VE6202601171.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260118 → edition 1: GREEN_VE6202601181.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260119 → edition 1: GREEN_VE6202601191.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260120 → edition 1: GREEN_VE6202601201.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260121 → edition 1: GREEN_VE6202601211.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260122 → edition 1: GREEN_VE6202601221.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260123 → edition 1: GREEN_VE6202601231.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260124 → edition 1: GREEN_VE6202601241.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260125 → edition 1: GREEN_VE6202601251.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260126 → edition 1: GREEN_VE6202601261.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260127 → edition 1: GREEN_VE6202601271.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260128 → edition 1: GREEN_VE6202601281.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260129 → edition 1: GREEN_VE6202601291.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260130 → edition 1: GREEN_VE6202601301.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | DEBUG |   20260131 → edition 1: GREEN_VE6202601311.csv
2026-02-13 20:19:50 | get_latest_green_ve6_files | INFO | Selected 31 files (one per date)
2026-02-13 20:19:50 | split_files_by_code | INFO | 
2026-02-13 20:19:50 | split_files_by_code | INFO | ============================================================
2026-02-13 20:19:50 | split_files_by_code | INFO | SPLIT FILES BY CODE — month=2026-01
2026-02-13 20:19:50 | split_files_by_code | INFO | ============================================================
2026-02-13 20:19:50 | process_file | INFO | Processing: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/downloads/2026-01/GREEN_VE6202601011.csv
2026-02-13 20:19:50 | preprocess_timestamp_column | DEBUG | Processed 4800 timestamps
2026-02-13 20:19:50 | assign_month_column | DEBUG | Assigned month column to 4800 rows
2026-02-13 20:19:50 | merge_with_existing_csv | DEBUG | Merged with existing: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ENERCO_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΠΕΡΙΟΡΙΣΜΕΝΗΣ_ΕΥΘΥΝΗΣ -_ΛΟΥΝΤΡΑ.csv
2026-02-13 20:19:50 | process_file | INFO |   ENERCO ΕΝΕΡΓΕΙΑΚΗ ΚΟΙΝΟΤΗΤΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ - ΛΟΥΝΤΡΑ (16543) → /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ENERCO_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΠΕΡΙΟΡΙΣΜΕΝΗΣ_ΕΥΘΥΝΗΣ -_ΛΟΥΝΤΡΑ.csv (2976 rows)
2026-02-13 20:19:50 | merge_with_existing_csv | DEBUG | Merged with existing: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΗΛΙΑΧΤΙΔΑ_Π.Ε._-_ΧΟΥΜΑ.csv
2026-02-13 20:19:50 | process_file | INFO |   ΕΝΕΡΓΕΙΑΚΗ ΚΟΙΝΟΤΗΤΑ ΗΛΙΑΧΤΙΔΑ Π.Ε. - ΧΟΥΜΑ (17038) → /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΗΛΙΑΧΤΙΔΑ_Π.Ε._-_ΧΟΥΜΑ.csv (5952 rows)
2026-02-13 20:19:50 | merge_with_existing_csv | DEBUG | Merged with existing: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΗΛΙΑΧΤΙΔΑ_Π.Ε._-_ΔΡΑΚΟΣΠΗΛΙΑ.csv
2026-02-13 20:19:50 | process_file | INFO |   ΕΝΕΡΓΕΙΑΚΗ ΚΟΙΝΟΤΗΤΑ ΗΛΙΑΧΤΙΔΑ Π.Ε. - ΔΡΑΚΟΣΠΗΛΙΑ (17039) → /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΗΛΙΑΧΤΙΔΑ_Π.Ε._-_ΔΡΑΚΟΣΠΗΛΙΑ.csv (5952 rows)
2026-02-13 20:19:50 | merge_with_existing_csv | DEBUG | Merged with existing: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΗΛΙΟΥ_ΟΦΕΛΟΣ_ΙΚΕ_-_ΛΟΥΝΤΡΑ.csv
2026-02-13 20:19:50 | process_file | INFO |   ΗΛΙΟΥ ΟΦΕΛΟΣ ΙΚΕ - ΛΟΥΝΤΡΑ (17238) → /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΗΛΙΟΥ_ΟΦΕΛΟΣ_ΙΚΕ_-_ΛΟΥΝΤΡΑ.csv (20644 rows)
2026-02-13 20:19:50 | merge_with_existing_csv | DEBUG | Merged with existing: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ENERCO_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΠΕΡΙΟΡΙΣΜΕΝΗΣ_ΕΥΘΥΝΗΣ -_ΝΤΑΟΥΛΙΑ.csv
2026-02-13 20:19:50 | process_file | INFO |   ENERCO ΕΝΕΡΓΕΙΑΚΗ ΚΟΙΝΟΤΗΤΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ - ΝΤΑΟΥΛΙΑ (17331) → /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ENERCO_ΕΝΕΡΓΕΙΑΚΗ_ΚΟΙΝΟΤΗΤΑ_ΠΕΡΙΟΡΙΣΜΕΝΗΣ_ΕΥΘΥΝΗΣ -_ΝΤΑΟΥΛΙΑ.csv (2976 rows)
2026-02-13 20:19:50 | merge_with_existing_csv | DEBUG | Merged with existing: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΠΑΡΙΣΗ_ΑΙΚΑΤΕΡΙΝΗ.csv
2026-02-13 20:19:50 | process_file | INFO |   ΠΑΡΙΣΗ ΑΙΚΑΤΕΡΙΝΗ (17731) → /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΠΑΡΙΣΗ_ΑΙΚΑΤΕΡΙΝΗ.csv (13832 rows)
2026-02-13 20:19:50 | merge_with_existing_csv | DEBUG | Merged with existing: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ENERGY_PLAN_ΜΟΝΟΠΡΟΣΩΠΗ_Ι.Κ.Ε._-_ΧΑΝΙ_ΒΩΒΟΥ.csv
2026-02-13 20:19:50 | process_file | INFO |   ENERGY PLAN ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. - ΧΑΝΙ ΒΩΒΟΥ (17809) → /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ENERGY_PLAN_ΜΟΝΟΠΡΟΣΩΠΗ_Ι.Κ.Ε._-_ΧΑΝΙ_ΒΩΒΟΥ.csv (23624 rows)
2026-02-13 20:19:50 | merge_with_existing_csv | DEBUG | Merged with existing: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ENERGY_PLAN_ΜΟΝΟΠΡΟΣΩΠΗ_Ι.Κ.Ε._-_ΧΑΝΙ_ΚΟΤΣΙΡΙ.csv
2026-02-13 20:19:50 | process_file | INFO |   ENERGY PLAN ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. - ΧΑΝΙ ΚΟΤΣΙΡΙ (17880) → /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ENERGY_PLAN_ΜΟΝΟΠΡΟΣΩΠΗ_Ι.Κ.Ε._-_ΧΑΝΙ_ΚΟΤΣΙΡΙ.csv (23624 rows)
2026-02-13 20:19:50 | merge_with_existing_csv | DEBUG | Merged with existing: /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΚΟΡΚΑΣ_Π._&_ΣΙΑ_Ε.Ε._(ΗΛΙΟΔΥΝΑΜΙΚΗ_ΒΟΧΑΣ).csv
2026-02-13 20:19:50 | process_file | INFO |   ΚΟΡΚΑΣ Π. & ΣΙΑ Ε.Ε. (ΗΛΙΟΔΥΝΑΜΙΚΗ ΒΟΧΑΣ) (18062) → /Users/greenvalue/ENHMERWTIKA-SHMEIWMATA/ΠΑΡΑΓΩΓΗ/ΠΑΡΑΓΩΓΗ_ΚΟΡΚΑΣ_Π._&_ΣΙΑ_Ε.Ε._(ΗΛΙΟΔΥΝΑΜΙΚΗ_ΒΟΧΑΣ).csv (5952 rows)
